SYMBOL,Text,Name,Date,Retweets,Tweet Type,Hashtags,Mentions,Media Type,
MSFT,DealBook: What would Microsoft do with TikTok? https://t.co/GWcSjO0LCx,NYT Business,03/08/2020,2,Tweet,0,0,,
MSFT,DealBook: What would Microsoft do with TikTok? https://t.co/GWcSjO0LCx,NYT Business,03/08/2020,2,Tweet,0,0,,
MSFT,RT @DylanByers : Microsoft $MSFT up 4.5% out the gate...,Joe Weisenthal,03/08/2020,0,Retweet,0,0,,
MSFT,"With TikTok negotiating a sale to Microsoft under intense pressure from President Trump, the digital wall between China and the United States is proving itself to be higher than ever https://t.co/hfCIb5SWmg",NYT Business,03/08/2020,4,Tweet,0,0,,
MSFT,"With TikTok negotiating a sale to Microsoft under intense pressure from President Trump, the digital wall between China and the United States is proving itself to be higher than ever https://t.co/hfCIb5SWmg",NYT Business,03/08/2020,4,Tweet,0,0,,
MSFT,"Microsoft's solid execution and dealmaking has built up a line of credit with investors. TikTok may be the first to tap it, @djtgallagher writes for @WSJheard - https://t.co/u1AyesTD9l",WSJ Markets,03/08/2020,1,Tweet,0,2,,
MSFT,"“Microsoft is viewed as your grandpa’s company, and it is trying to change that,” an analyst said https://t.co/kce2Bmi3O5",NYT Business,03/08/2020,4,Tweet,0,0,,
MSFT,"“Microsoft is viewed as your grandpa’s company, and it is trying to change that,” an analyst said https://t.co/kce2Bmi3O5",NYT Business,03/08/2020,4,Tweet,0,0,,
MSFT,Microsoft Dances With TikTok: @Sarge986 https://t.co/OGWmK6Bs6H,Jim Cramer,03/08/2020,8,Tweet,0,1,,
MSFT,A deal could stretch Microsoft’s renewed credibility in deals and business execution. https://t.co/NotXgMHnMH,WSJ Markets,03/08/2020,5,Tweet,0,0,,
MSFT,"Growth stocks lead: Microsoft soars on TikTok, Zoom in buy area, China Net play pops $MSFT $ZM $KWEB https://t.co/PdRqdsgpjH",Investors.com,03/08/2020,3,Tweet,0,0,,
MSFT,"A deal for TikTok could give Microsoft, best known for databases and operating systems, control of one of the largest and most influential social networks in the country https://t.co/kTTnCR4IXV",NYT Business,03/08/2020,3,Tweet,0,0,,
MSFT,"A deal for TikTok could give Microsoft, best known for databases and operating systems, control of one of the largest and most influential social networks in the country https://t.co/kTTnCR4IXV",NYT Business,03/08/2020,3,Tweet,0,0,,
MSFT,RT @TheStreet : Why @JimCramer thinks regulators would approve Microsoft buying TikTok:  https://t.co/h9btNgLpSB,Jim Cramer,03/08/2020,0,Retweet,0,1,,
MSFT,"President Trump gave the go-ahead for Microsoft to pursue an acquisition of TikTok, in his first public comments about the popular Chinese-owned video app after he had threatened to ban it from the United States entirely. https://t.co/ly33YZiVeV",NYT Business,04/08/2020,5,Tweet,0,0,,
