Symbol,Text,Name,Date,Retweets,Tweet Type,Hashtags,Mentions
BKNG,"RT @MadMraket : At this typing 142 Hanging Man symbols:

$APPS
$BKNG
$CRWD
$DBX
$FTTY 
$FIVE
$HZNP
$IWY
$KBH
$NOW
$PTON
$QQQ
$RGEN
$TNDM
$TTD
$XHB",Raj4Stocks,02/09/2020,0,Retweet,0,0
BKNG,251 Profit-Packed Option Trades Yearly--Delivered to Your Inbox Daily--FREE! https://t.co/0UiOKqLkrO $M $TJX $SQ $BKNG,Exact Option Picks,02/09/2020,0,Tweet,0,0
BKNG,"Scan results - 1,2,3 Pullback Bullish today: $WDAY $WY $MRTX $MLCO $CHH $PCH $KMX $BKNG $SJM $POOL $WVE $NFG $EVTC $AA $ERIC $KRO $URBN $GNRC $RC $FSLR ... https://t.co/QouDZUhqge",SwingTradeBot,02/09/2020,0,Tweet,0,0
BKNG,"RT @NegDiscountRt : $BKNG 3rd quarter results will give more info about the fallout from Covid-19, as $BKNG recognizes the revenue at the customer's ""check-in"". https://t.co/KLlPrnZMaS",Joe Gambiste,02/09/2020,0,Retweet,0,0
BKNG,"$BKNG 3rd quarter results will give more info about the fallout from Covid-19, as $BKNG recognizes the revenue at the customer's ""check-in"". https://t.co/KLlPrnZMaS",AR-622 Module Containment Rework Project,02/09/2020,1,Tweet,0,0
BKNG,#OutsideDay 9/2: $AAPL $ABMD $AMD $APA $AYX $BIDU $BJ $BKNG $CHGG $CLDR $COUP $CRM $CRON $DDOG $DG $DPZ $ENPH $FSLR $GDS $GRUB $IQ $JMIA $JNJ $LL $LLY $LMT $MIK $MO $MOMO $MRNA $NIO $NKLA $OXY $PYPL $SEDG $SHAK $SINA $SPLK $SPOT $SQ $T $TDOC $TTD $TTWO $URBN $VEEV $WING $WORK https://t.co/aFpoziNGfu,Options Locator,02/09/2020,0,Tweet,1,0
BKNG,"$BKNG Below Avg Volume
Daily appearances since 2010: 510
Close 5 days later ±:
Avg: 1.52
SD: 60.69
Worst: -323.49
Best: 165.88

10 days later:
Avg: 2.36
SD: 84.51
Worst: -323.47
Best: 207.00

30 days later:
Avg: -9.17
SD: 138.95
Worst: -710.91
Best: 478.14",Candlestick_stats,02/09/2020,0,Tweet,0,0
BKNG,"$BKNG Hammer
Daily appearances since 2010: 48
Close 5 days later ±:
Avg: 4.94
SD: 61.86
Worst: -178.60
Best: 228.50

10 days later:
Avg: 13.62
SD: 71.67
Worst: -225.75
Best: 199.03

30 days later:
Avg: 47.42
SD: 112.06
Worst: -349.89
Best: 325.90",Candlestick_stats,02/09/2020,0,Tweet,0,0
BKNG,"Prepare for coronavirus vaccine as soon as late October - CDC

$BKNG travel start again with $GOOGL adds? 

$GS $TGT $WMT https://t.co/SigtzroHhW",playsmart,02/09/2020,0,Tweet,0,0
BKNG,Rose Above Upper Bollinger Band today: $QRVO $CDK $MDY $IJH $SPMD $BKNG $HOG $NOC $IWY $PG $HUBB $EXP $IFN $PTMC ... https://t.co/AyIukUGmib,SwingTradeBot,02/09/2020,0,Tweet,0,0
BKNG,"$GS looks like 250-270 coming by October because simple logic

Individual trader earning with FED support then how much professionals will earn per day and it’s a investment or trading bank

$AMZN $BKNG $NVDA $GOOGL

Any thoughts @jimcramer @timseymour @CNBCFastMoney https://t.co/zhnt4abAc5",playsmart,02/09/2020,1,Tweet,0,3
BKNG,"MAJOR BUY ALERT: Act now, Wall St/Trump/Fortu... - https://t.co/RLI05eF7Dg

$BTC $MSFT $FB $NVDA $BYND $TWLO $BKNG $AMZN $GOOGL $BIDU $BABA $DIS $AAPL $GS $TSLA $NFLX $AMD $BA $CRM $LULU $ROKU",Exact Option Picks,02/09/2020,0,Tweet,0,0
BKNG,"First time trading $BKNG in a looong time today, so far so good",-RenkoBricks-,02/09/2020,1,Tweet,0,0
BKNG,$BKNG man waiting to cross 1944 then no stop till 2000 awesome finder https://t.co/o139LpfVCK,playsmart,02/09/2020,0,Tweet,0,0
BKNG,"RT @MadMraket : At this typing 142 Hanging Man symbols:

$APPS
$BKNG
$CRWD
$DBX
$FTTY 
$FIVE
$HZNP
$IWY
$KBH
$NOW
$PTON
$QQQ
$RGEN
$TNDM
$TTD
$XHB",StockChartArt,02/09/2020,0,Retweet,0,0
BKNG,"At this typing 142 Hanging Man symbols:

$APPS
$BKNG
$CRWD
$DBX
$FTTY 
$FIVE
$HZNP
$IWY
$KBH
$NOW
$PTON
$QQQ
$RGEN
$TNDM
$TTD
$XHB",cybercash28,02/09/2020,3,Tweet,0,0
BKNG,"Booking Holdings - $BKNG

?? QUOTE
$BKNG is DOWN ? on Wed Sep 02
Currently at 1920.21 USD for a -0.45% loss from previous close
?? ?? ??

?? ANALYSIS
Booking Holdings should be nationalized
? ? ?",Communist Stock Analysis,02/09/2020,0,Tweet,0,0
