Symbol,Text,Name,Date,Retweets,Language,Tweet Type,Hashtags,Mentions,Media Type
FB,"Today's drop hardly noticeable on the FAANG charts, but check out some of the key travel names... $AMZN $CCL $JBLU $DAL $AAPL $GOOGL $FB https://t.co/XS7D7SatE5",Bespoke,11/06/2020,10,en,Tweet,0,0,photo
FB,"Apple and Microsoft are buying companies. Amazon is leasing more airplanes. Facebook is helping to build a nearly 23,000-mile undersea fiber optic cable encircling Africa.  https://t.co/c2sKvbaH61",NYT Business,13/06/2020,28,en,Tweet,0,0,
FB,"RT @puiwingtam : Bankruptcies, layoffs, retrenchment and financial pain? Not for Facebook, Google, Amazon, Apple and Microsoft. 
@MikeIsaac 
https://t.co/YQpOh5iSML",NYT Business,13/06/2020,0,en,Retweet,0,1,
FB,"Apple and Microsoft are buying companies. Amazon is leasing more airplanes. Facebook is helping to build a nearly 23,000-mile undersea fiber optic cable encircling Africa. https://t.co/2IoKgQ7jFJ",NYT Business,14/06/2020,10,en,Tweet,0,0,
FB,"Apple and Microsoft are buying companies. Amazon is leasing more airplanes. Facebook is helping to build a nearly 23,000-mile undersea fiber optic cable encircling Africa. https://t.co/7xZ4EL9aGH",NYT Business,14/06/2020,20,en,Tweet,0,0,
FB,"Catterton, TPG Invest $848M In Facebook-Backed Jio Platforms, Bringing Company's Funding To $13.7B In 2 Months $TSLX $FB
https://t.co/F0hLOrzHjo",Benzinga,15/06/2020,0,en,Tweet,0,0,
FB,"In today's On Tech, @shiraovide writes that the conviction of the journalist Maria Ressa in the Philippines shows that Facebook’s harms can’t be ignored https://t.co/jVMyCqFC5F",NYT Business,16/06/2020,9,en,Tweet,0,1,
FB,"The Department of Justice's proposals take a direct shot at companies like Facebook, Twitter and YouTube that have come into the Trump administration's the cross hairs https://t.co/pZToAIEHKB",NYT Business,17/06/2020,0,en,Tweet,0,0,
FB,Facebook said it will let users in the United States opt out of seeing political ads in their Facebook or Instagram feeds https://t.co/BxbEnVogig,NYT Business,17/06/2020,0,en,Tweet,0,0,
FB,"The Department of Justice's proposals take a direct shot at companies like Facebook, Twitter and YouTube that have come into the Trump administration's the cross hairs. https://t.co/SYKy4UF10g",NYT Business,17/06/2020,3,en,Tweet,0,0,
FB,RT @Tanzeel_Akhtar : Why Facebook's WhatsApp Launched Its Payments Service In Brazil $FB https://t.co/zmx7QTuvfp via @benzinga @ATraidman @BRDHQ,Benzinga,17/06/2020,0,en,Retweet,0,3,
FB,It wasn’t the first time Apple said no to the Facebook Gaming app. Or the second. Or even the third. https://t.co/X6G19ozNci,NYT Business,18/06/2020,8,en,Tweet,0,0,
FB,"Facebook Removes Trump Campaign Ads Containing Symbols Reminiscent Of The Nazi Era $FB
https://t.co/cbYUXk1Cw0",Benzinga,19/06/2020,1,en,Tweet,0,0,
FB,"As social media companies like Facebook and Twitter celebrate Juneteenth and pledge support for racial justice, there's a gap between what their leaders are saying and the content their platforms actually promote, writes Kevin Roose https://t.co/2TRb5Gxuui",NYT Business,20/06/2020,3,en,Tweet,0,0,
FB,"As social media companies like Facebook and Twitter celebrate Juneteenth and pledge support for racial justice, there's a gap between what their leaders are saying and the content their platforms actually promote, writes Kevin Roose https://t.co/syP5EhDPTB",NYT Business,21/06/2020,0,en,Tweet,0,0,
FB,"As social media companies like Facebook and Twitter celebrate Juneteenth and pledge support for racial justice, there's a gap between what their leaders are saying and the content their platforms actually promote, writes Kevin Roose https://t.co/TZW7AIKCHx",NYT Business,21/06/2020,6,en,Tweet,0,0,
FB,"#Wirecard, once Germany’s pride, turns national embarrassment. For all its engineering prowess, Germany has lagged in producing tech giants such as Facebook, w/exception of software comp SAP. Wirecard seemed set to change that narrative. https://t.co/tLovQW6jYw HT @SF19411190 https://t.co/sEG7wh6KTK",Holger Zschaepitz,21/06/2020,76,en,Tweet,1,1,photo
FB,Don't give up on $FB yet... taking a lot of ad share in the pandemic https://t.co/OASs2ozej6,Jim Cramer,22/06/2020,3,en,Tweet,0,0,
FB,Corporations reconsider racist food labels. Facebook pulls a Trump campaign ad. And what’s going on with the China trade deal? Here’s what you need to know in business and tech for the week ahead. https://t.co/2mwn7javG3,NYT Business,22/06/2020,2,en,Tweet,0,0,
FB,"Facebook's founder, Mark Zuckerberg, has forged an uneasy alliance with the Trump administration. He may have gotten too close. https://t.co/EJOhVy7OYx",NYT Business,22/06/2020,1,en,Tweet,0,0,
FB,"Can FANG Stocks Continue To Outshine The Broader Technology Sector? $FB $AMZN $NFLX $GOOGL 

https://t.co/cPapj8jxCh",Benzinga,23/06/2020,5,en,Tweet,0,0,
FB,"Apple To Let Developers Challenge App Store Guidelines, Push Bug Fixes After Uproar
$AAPL $FB
https://t.co/gtQGGDFbdh",Benzinga,23/06/2020,1,en,Tweet,0,0,
FB,The social media giant was ordered to allow people in Germany to block the company from combining their Facebook data with information about their activities on other apps and websites.  https://t.co/s7nRY3CcuL,NYT Business,23/06/2020,6,en,Tweet,0,0,
FB,"U.S. companies such as Twitter and Facebook are embracing working from home, meaning less office space. But in Europe, the traditional office market is perking up. https://t.co/rndyr6kRMy",WSJ Markets,23/06/2020,3,en,Tweet,0,0,
FB,"More companies, like Eddie Bauer and Ben &amp; Jerry's, have decided to pull their ad dollars away from Facebook https://t.co/Lz9xVffT6Y",NYT Business,24/06/2020,23,en,Tweet,0,0,
FB,Germany's Federal Court of Justice ruled that regulators were right in concluding that Facebook is abusing its dominant position in the market. https://t.co/7pNh00SCdq,NYT Business,24/06/2020,9,en,Tweet,0,0,
FB,"In explaining why it would stop advertising on Facebook, Magnolia Pictures said that it was “seeking meaningful change at Facebook and the end to their amplification of hate speech.” https://t.co/cFuyh0cprz",NYT Business,24/06/2020,9,en,Tweet,0,0,
FB,"Ben &amp; Jerry’s ice cream is the latest company to join Patagonia, the North Face, REI and others in a growing boycott that has targeted Facebook’s content moderation practices. https://t.co/eFl2J9t5CL",NYT Business,24/06/2020,8,en,Tweet,0,0,
FB,"Ben &amp; Jerry's Joins Advertising Boycott On Facebook's Platforms To Protest Alleged Inaction Over Racism
$FB $UN
https://t.co/w8z7ID24hr",Benzinga,24/06/2020,2,en,Tweet,0,0,
FB,Facebook $FB breakout stats https://t.co/RCsJ7Xm4aU,Top Breakout Stocks,25/06/2020,0,en,Tweet,0,0,
FB,"#Facebook shares plunge 7%, equal to $50bn of mkt cap, on Facebook ad boycotts. Brands like Ben &amp; Jerry’s, Verizon and Unilever are pulling ad spending from Facebook, citing hate speech, racist content, and polarized politics as the key reasons for its decision. https://t.co/Yn6uRrbQXB",Holger Zschaepitz,26/06/2020,193,en,Tweet,1,0,photo
FB,The stock market suffered sharp losses Friday as the coronavirus continued to spread in the U.S. $NKE $FB RNG https://t.co/pnx0UG1tQ3,Investors.com,26/06/2020,2,en,Tweet,0,0,
FB,Facebook is facing a growing boycott by advertisers unhappy with its handling of misinformation and hate speech. https://t.co/4SmXZWmjQW,NYT Business,26/06/2020,6,en,Tweet,0,0,
