Symbol,Text,Name,Date,Favorites,Retweets,Tweet Type,Hashtags,Media Type
GOOG,"RT @DanStrumpf : Huawei has found a lot of workarounds to its U.S. blacklisting. But without Google, Huawei's dream to conquer the global smartphone market is fading. https://t.co/jhPNGMeGQo via @WSJ",WSJ Markets,13/05/2020,0,0,0,1,
APPLE,"9 of 30 Dow stocks up over the last week, led by Apple $AAPL, Cisco $CSCO, Disney $DIS, and Home Depot $HD.  JP Morgan $JPM, AmEx $AXP, 3M $MMM, United Tech $RTX  are down the most.  https://t.co/H4p1RcpfIn https://t.co/C0WQBo1X8G",Bespoke,13/05/2020,9,2,0,0,photo
APPLE,i have been and remain a great defender of Dr. Fauci.. But what are we waiting for? I want more testing but that's up to Abbott.. I want contact trace and we have it with Apple-Google but they aren't using it. So i am waiting for Godot https://t.co/zjDXoNN3ts,Jim Cramer,13/05/2020,506,51,0,0,
GOOG,"Another Fundraise, As Self-Driving Startup Waymo's Investment Hits $3B In 2020 $F $GM $GOOG https://t.co/vu5sVLzEiP",Benzinga,14/05/2020,0,0,0,0,
GOOG,"Okay, nothing to do? Gin up the Google Monopolist case!",Jim Cramer,15/05/2020,229,13,0,0,
GOOG,"Once again, DOJ, focused on Google. Once again, Google will be ready. Once again, it's a win win for shareholders. Break it up it's worth more. Don't sweat the program.  I am actually bored by it this time.",Jim Cramer,15/05/2020,424,47,0,0,
GOOG,"Here is 5 years worth of Google search trend data for ""Buy House"" vs. ""Sell House""... https://t.co/8cuPpMh7VP https://t.co/RFbKEpaz6v",Bespoke,15/05/2020,19,5,0,0,photo
GOOG,Silicon Valley giants such as Facebook and Google lure employees with lavish campuses. Now those headquarters are like a carnival out of season. https://t.co/45eUygnnBD,WSJ Markets,15/05/2020,4,1,0,0,
APPLE,"RT @JChengWSJ : Ouch. The coronavirus took first-quarter earnings for Apple supplier Foxconn down by, oh, 90% or so.
@Kubota_Yoko @felixliuworld
https://t.co/CkrKJ1Bj4T",WSJ Markets,16/05/2020,0,0,0,2,
GOOG,I have nothing to do with that ratings system and the company's been sold. Check your Google box. https://t.co/Q3SfoFuxbX,Jim Cramer,18/05/2020,44,3,0,0,
GOOG,"Here's How Much Investing $1,000 In The 2015 Fitbit IPO Would Be Worth Today $FIT $GOOG https://t.co/MCzVPx6oNm",Benzinga,18/05/2020,1,1,0,0,
